Dark spectrum
Integration time [ms]: 100.000
Averaging Nr. [scans]: 1
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1401079U1
Wave   ;Sample   ;Dark     ;Reference;Scope
[nm]   ;[counts] ;[counts] ;[counts]
 244.06;  -56.000;  -56.000;    0.000
 244.40;  -11.000;  -11.000;    0.000
 244.75;  -49.000;  -49.000;    0.000
 245.09;  -23.000;  -23.000;    0.000
 245.43;    0.000;    0.000;    0.000
 245.78;   11.000;   11.000;    0.000
 246.12;   99.000;   99.000;    0.000
 246.46;   -9.000;   -9.000;    0.000
 246.80;  -31.000;  -31.000;    0.000
 247.15;  -45.000;  -45.000;    0.000
 247.49;    8.000;    8.000;    0.000
 247.83;   81.000;   81.000;    0.000
 248.17;  -36.000;  -36.000;    0.000
 248.52;  -44.000;  -44.000;    0.000
 248.86;   -8.000;   -8.000;    0.000
 249.20;   67.000;   67.000;    0.000
 249.55;    5.000;    5.000;    0.000
 249.89;  -17.000;  -17.000;    0.000
 250.23;   -8.000;   -8.000;    0.000
 250.57;  -13.000;  -13.000;    0.000
 250.92;  -38.000;  -38.000;    0.000
 251.26;  -36.000;  -36.000;    0.000
 251.60;    0.000;    0.000;    0.000
 251.94;    1.000;    1.000;    0.000
 252.29;   10.000;   10.000;    0.000
 252.63;    2.000;    2.000;    0.000
 252.97;  -20.000;  -20.000;    0.000
 253.31;  -53.000;  -53.000;    0.000
 253.66;   39.000;   39.000;    0.000
 254.00;    0.000;    0.000;    0.000
 254.34;  -45.000;  -45.000;    0.000
 254.68;   47.000;   47.000;    0.000
 255.03;   38.000;   38.000;    0.000
 255.37;  -29.000;  -29.000;    0.000
 255.71;  -34.000;  -34.000;    0.000
 256.05;    3.000;    3.000;    0.000
 256.40;   24.000;   24.000;    0.000
 256.74;    0.000;    0.000;    0.000
 257.08;    4.000;    4.000;    0.000
 257.42;  -28.000;  -28.000;    0.000
 257.77;  -74.000;  -74.000;    0.000
 258.11;   33.000;   33.000;    0.000
 258.45;   12.000;   12.000;    0.000
 258.79;  -33.000;  -33.000;    0.000
 259.14;  -30.000;  -30.000;    0.000
 259.48;  -36.000;  -36.000;    0.000
 259.82;   -1.000;   -1.000;    0.000
 260.16;   37.000;   37.000;    0.000
 260.51;  -60.000;  -60.000;    0.000
 260.85;   -2.000;   -2.000;    0.000
 261.19;  -52.000;  -52.000;    0.000
 261.53;  -17.000;  -17.000;    0.000
 261.88;   37.000;   37.000;    0.000
 262.22;   23.000;   23.000;    0.000
